epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.180885,0.964706,0.112898,0.972603,0.972603,1.000000,0.986111
2,0.144044,0.967647,0.128896,0.972603,0.972603,1.000000,0.986111
3,0.140141,0.967647,0.123259,0.972603,0.972603,1.000000,0.986111
4,0.138171,0.967647,0.139384,0.972603,0.972603,1.000000,0.986111
5,0.136335,0.967647,0.128211,0.972603,0.972603,1.000000,0.986111
6,0.116760,0.967647,0.170975,0.945205,0.971831,0.971831,0.971831
7,0.133464,0.967647,0.134373,0.958904,0.972222,0.985915,0.979021
8,0.111400,0.967647,0.110195,0.972603,0.972603,1.000000,0.986111
9,0.103222,0.967647,0.131894,0.945205,0.971831,0.971831,0.971831
10,0.131028,0.967647,0.117189,0.972603,0.972603,1.000000,0.986111
11,0.093754,0.967647,0.111834,0.972603,0.972603,1.000000,0.986111
12,0.092503,0.967647,0.111620,0.958904,0.972222,0.985915,0.979021
13,0.069737,0.970588,0.113514,0.972603,0.972603,1.000000,0.986111
14,0.106090,0.970588,0.120968,0.958904,0.972222,0.985915,0.979021
15,0.090866,0.970588,0.132306,0.972603,0.972603,1.000000,0.986111
16,0.098766,0.976471,0.126307,0.945205,0.971831,0.971831,0.971831
17,0.100135,0.970588,0.144178,0.945205,0.971831,0.971831,0.971831
18,0.093480,0.967647,0.124553,0.945205,0.971831,0.971831,0.971831
19,0.110579,0.967647,0.140296,0.945205,0.971831,0.971831,0.971831
20,0.082371,0.973529,0.118320,0.958904,0.972222,0.985915,0.979021
21,0.077587,0.970588,0.119298,0.972603,0.972603,1.000000,0.986111
22,0.097042,0.976471,0.138787,0.972603,0.972603,1.000000,0.986111
23,0.091378,0.973529,0.128960,0.972603,0.972603,1.000000,0.986111
24,0.075370,0.973529,0.134752,0.972603,0.972603,1.000000,0.986111
25,0.085765,0.967647,0.138368,0.945205,0.971831,0.971831,0.971831
26,0.097470,0.970588,0.122306,0.945205,0.971831,0.971831,0.971831
27,0.060713,0.973529,0.127016,0.958904,0.972222,0.985915,0.979021
28,0.075914,0.976471,0.126320,0.945205,0.971831,0.971831,0.971831
29,0.065103,0.973529,0.119551,0.958904,0.972222,0.985915,0.979021
30,0.086937,0.970588,0.177277,0.931507,0.985294,0.943662,0.964029
