epoch,train_loss,train_acc,val_loss,val_acc,val_precision_macro,val_recall_macro,val_f1_macro
1,1.080261,0.574586,0.918437,0.620690,0.299877,0.362500,0.328184
2,0.910740,0.626151,0.913671,0.586207,0.536595,0.366964,0.356690
3,0.812645,0.674033,0.827563,0.637931,0.556764,0.414286,0.416386
4,0.837272,0.639042,0.863024,0.672414,0.647259,0.486607,0.516570
5,0.826643,0.661142,0.858068,0.603448,0.518249,0.496429,0.460642
6,0.828094,0.631676,0.816061,0.663793,0.696403,0.466964,0.496737
7,0.763301,0.685083,0.831342,0.655172,0.682540,0.498214,0.520343
8,0.762930,0.685083,0.984013,0.637931,0.666250,0.499107,0.472504
9,0.758620,0.677716,0.851763,0.672414,0.444298,0.444643,0.431006
10,0.772280,0.677716,0.825668,0.646552,0.500547,0.471429,0.478341
11,0.742811,0.707182,0.838503,0.663793,0.562934,0.465179,0.475140
12,0.721361,0.720074,0.885222,0.620690,0.467043,0.433929,0.438918
13,0.695404,0.727440,0.837543,0.646552,0.674077,0.548214,0.525039
14,0.733566,0.697974,0.862299,0.646552,0.549654,0.533036,0.508902
15,0.697186,0.718232,0.926138,0.586207,0.505202,0.483929,0.438287
16,0.682620,0.710866,0.856232,0.620690,0.482738,0.490179,0.470579
17,0.695394,0.712707,0.860799,0.620690,0.475457,0.490179,0.470173
18,0.669730,0.749540,0.847776,0.629310,0.457227,0.441964,0.444495
19,0.654897,0.729282,0.838301,0.629310,0.483013,0.477679,0.472312
20,0.682094,0.725599,0.844393,0.724138,0.615625,0.512500,0.522760
21,0.675045,0.732965,0.872422,0.629310,0.528289,0.496429,0.478665
22,0.685527,0.709024,0.955074,0.612069,0.449306,0.463393,0.438021
23,0.635327,0.751381,0.966099,0.603448,0.458681,0.475893,0.446501
24,0.665009,0.716390,0.945317,0.577586,0.411409,0.400893,0.385093
25,0.655710,0.731123,0.920408,0.655172,0.467190,0.438393,0.442310
26,0.678700,0.740331,0.873387,0.612069,0.472773,0.465179,0.449949
