task,method,candidate,n_features,base_features,selector_param,accuracy,precision,recall,f1,auc,ap,ranker,cv_score
binary,pca,pca_all_32,2120,all,32,0.8617511520737328,0.896551724137931,0.9285714285714286,0.9122807017543859,0.8575072886297376,0.9349622789931552,,
binary,pca,pca_all_64,2120,all,64,0.880184331797235,0.9127906976744186,0.9345238095238095,0.9235294117647059,0.8773080660835763,0.9440630100837002,,
binary,pca,pca_all_96,2120,all,96,0.880184331797235,0.9176470588235294,0.9285714285714286,0.9230769230769231,0.8859329446064139,0.9508276887585734,,
binary,pca,pca_all_128,2120,all,128,0.8894009216589862,0.9137931034482759,0.9464285714285714,0.9298245614035088,0.8892128279883381,0.9540475189332501,,
binary,pca,pca_stat_color_edge_line_32,140,stat_color_edge_line,32,0.9032258064516129,0.9454545454545454,0.9285714285714286,0.9369369369369369,0.9097424684159379,0.9612020841132923,,
binary,pca,pca_stat_color_edge_line_64,140,stat_color_edge_line,64,0.9216589861751152,0.9575757575757575,0.9404761904761905,0.948948948948949,0.9392614188532555,0.9784516563650204,,
binary,pca,pca_stat_color_edge_line_96,140,stat_color_edge_line,96,0.9308755760368663,0.9526627218934911,0.9583333333333334,0.9554896142433235,0.9441205053449951,0.979962718353803,,
binary,pca,pca_stat_color_edge_line_128,140,stat_color_edge_line,128,0.9308755760368663,0.9526627218934911,0.9583333333333334,0.9554896142433235,0.9444849368318756,0.9800635504444942,,
binary,rfecv,rfecv_stat_color_edge_118,118,stat_color_edge,118,0.9170506912442397,0.936046511627907,0.9583333333333334,0.9470588235294117,0.9442419825072886,0.9807629013618728,,
binary,rfecv,rfecv_stat_color_edge_line_98,98,stat_color_edge_line,98,0.9216589861751152,0.9467455621301775,0.9523809523809523,0.9495548961424333,0.9413265306122448,0.9793055587321426,,
binary,importance,rf_importance_all_top64,64,all,64,0.8709677419354839,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.8796161321671526,0.952920997270716,rf_importance,
binary,importance,rf_importance_all_top96,96,all,96,0.8571428571428571,0.88268156424581,0.9404761904761905,0.9106628242074928,0.8652818270165209,0.9526133458651556,rf_importance,
binary,importance,rf_importance_all_top128,128,all,128,0.8617511520737328,0.8876404494382022,0.9404761904761905,0.9132947976878613,0.8632167152575316,0.9477875221538257,rf_importance,
binary,importance,rf_importance_all_top192,192,all,192,0.8709677419354839,0.8977272727272727,0.9404761904761905,0.9186046511627907,0.8831389698736638,0.9559995466633293,rf_importance,
binary,importance,rf_importance_all_top256,256,all,256,0.880184331797235,0.898876404494382,0.9523809523809523,0.9248554913294798,0.8870262390670555,0.9543178065523212,rf_importance,
binary,importance,rf_importance_all_top512,512,all,512,0.8847926267281107,0.8950276243093923,0.9642857142857143,0.9283667621776505,0.9026967930029155,0.9550380521434414,rf_importance,
binary,importance,xgb_importance_all_top64,64,all,64,0.8755760368663594,0.8938547486033519,0.9523809523809523,0.9221902017291066,0.8920068027210885,0.9473843294029701,xgb_importance,
binary,importance,xgb_importance_all_top96,96,all,96,0.8755760368663594,0.8983050847457628,0.9464285714285714,0.9217391304347826,0.9017249757045676,0.9562615430555242,xgb_importance,
binary,importance,xgb_importance_all_top128,128,all,128,0.8847926267281107,0.903954802259887,0.9523809523809523,0.927536231884058,0.9176384839650146,0.9686611461201811,xgb_importance,
binary,importance,xgb_importance_all_top192,192,all,192,0.9124423963133641,0.9162011173184358,0.9761904761904762,0.9452449567723343,0.9229834791059282,0.969484677379582,xgb_importance,
binary,importance,xgb_importance_all_top256,256,all,256,0.8894009216589862,0.9,0.9642857142857143,0.9310344827586207,0.9203109815354714,0.9676390470908007,xgb_importance,
binary,importance,xgb_importance_all_top512,512,all,512,0.8894009216589862,0.8956043956043956,0.9702380952380952,0.9314285714285714,0.9198250728862973,0.9680840402684991,xgb_importance,
binary,importance,rf_importance_stat_color_edge_line_top64,64,stat_color_edge_line,64,0.9032258064516129,0.9454545454545454,0.9285714285714286,0.9369369369369369,0.9183673469387754,0.9687604402217845,rf_importance,
binary,importance,rf_importance_stat_color_edge_line_top96,96,stat_color_edge_line,96,0.9262672811059908,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9461856171039844,0.9807573556693132,rf_importance,
binary,importance,rf_importance_stat_color_edge_line_top128,128,stat_color_edge_line,128,0.9262672811059908,0.9470588235294117,0.9583333333333334,0.9526627218934911,0.9452137998056365,0.9790778597139627,rf_importance,
binary,importance,xgb_importance_stat_color_edge_line_top64,64,stat_color_edge_line,64,0.9124423963133641,0.9461077844311377,0.9404761904761905,0.9432835820895522,0.9419339164237124,0.9797855444657905,xgb_importance,
binary,importance,xgb_importance_stat_color_edge_line_top96,96,stat_color_edge_line,96,0.9170506912442397,0.9411764705882353,0.9523809523809523,0.9467455621301775,0.9454567541302235,0.9815057434939826,xgb_importance,
binary,importance,xgb_importance_stat_color_edge_line_top128,128,stat_color_edge_line,128,0.9262672811059908,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9443634596695821,0.9799113970719363,xgb_importance,
binary,cv_kbest,cv_kbest_f_classif_all_k768,768,all,768,0.8663594470046083,0.8797814207650273,0.9583333333333334,0.9173789173789174,0.9114431486880467,0.964679315257239,,0.9196604504734869
binary,cv_kbest,cv_kbest_mutual_info_all_k256,256,all,256,0.880184331797235,0.9034090909090909,0.9464285714285714,0.9244186046511628,0.8912779397473275,0.9555552949212486,,0.9217304782209315
binary,cv_kbest,cv_kbest_f_classif_stat_color_edge_line_k128,128,stat_color_edge_line,128,0.9216589861751152,0.9467455621301775,0.9523809523809523,0.9495548961424333,0.9480077745383868,0.9823715796578893,,0.9337362383006879
binary,cv_kbest,cv_kbest_mutual_info_stat_color_edge_line_k128,128,stat_color_edge_line,128,0.9216589861751152,0.9415204678362573,0.9583333333333334,0.9498525073746312,0.9425413022351797,0.9779368394229953,,0.9318265135986042
