task,feature_set,n_features,model,accuracy,macro_f1,weighted_f1
level,gray,52,svm_rbf_tuned,0.6682027649769585,0.6516707720392242,0.67055943130846
level,gray,52,rf_tuned,0.7050691244239631,0.6485530818355381,0.6975425251715454
level,gray,52,gbdt_tuned,0.6543778801843319,0.609921098492828,0.6480717784495382
level,gray,52,xgboost_tuned,0.663594470046083,0.6267274908970539,0.6574136573936362
level,hsv,40,svm_rbf_tuned,0.7235023041474654,0.7150337948226103,0.7266963764892623
level,hsv,40,rf_tuned,0.7465437788018433,0.7188564415948707,0.7470239057030765
level,hsv,40,gbdt_tuned,0.6728110599078341,0.6466085942667519,0.6705756770330183
level,hsv,40,xgboost_tuned,0.6820276497695853,0.6570464651581672,0.680136280089707
level,stat_color_edge_line,140,svm_rbf_tuned,0.7695852534562212,0.7558621836353179,0.7734834011257653
level,stat_color_edge_line,140,rf_tuned,0.7511520737327189,0.7135837853321203,0.7463758605192183
level,stat_color_edge_line,140,gbdt_tuned,0.7142857142857143,0.6820266439909297,0.7105277594908932
level,stat_color_edge_line,140,xgboost_tuned,0.7142857142857143,0.6755629450367233,0.7061225702786205
level,stat_color_edge_line_f_classif_k64,64,svm_rbf_tuned,0.6728110599078341,0.6609158035417937,0.6812503005150222
level,stat_color_edge_line_f_classif_k64,64,rf_tuned,0.7511520737327189,0.7109579400637646,0.745828969441283
level,stat_color_edge_line_f_classif_k64,64,gbdt_tuned,0.6866359447004609,0.6436727919749978,0.6796139723580165
level,stat_color_edge_line_f_classif_k64,64,xgboost_tuned,0.6728110599078341,0.6147602710474618,0.6583066539958127
level,stat_color_edge_line_f_classif_k128,128,svm_rbf_tuned,0.7649769585253456,0.7495022412583616,0.7694324757003584
level,stat_color_edge_line_f_classif_k128,128,rf_tuned,0.7511520737327189,0.7122429390997354,0.7462571330955295
level,stat_color_edge_line_f_classif_k128,128,gbdt_tuned,0.7004608294930875,0.6526095665055286,0.6913557591923093
level,stat_color_edge_line_f_classif_k128,128,xgboost_tuned,0.7004608294930875,0.6632064617809299,0.6932283557211492
level,stat_color_edge_line_mutual_info_k64,64,svm_rbf_tuned,0.695852534562212,0.6819573247648152,0.7015465088582874
level,stat_color_edge_line_mutual_info_k64,64,rf_tuned,0.7511520737327189,0.7031258525179462,0.7422628631498431
level,stat_color_edge_line_mutual_info_k64,64,gbdt_tuned,0.6728110599078341,0.6290551399103225,0.6662552500134099
level,stat_color_edge_line_mutual_info_k64,64,xgboost_tuned,0.7096774193548387,0.6682726446306787,0.7030687049977099
level,stat_color_edge_line_mutual_info_k128,128,svm_rbf_tuned,0.7695852534562212,0.7591974213983783,0.7729602290491316
level,stat_color_edge_line_mutual_info_k128,128,rf_tuned,0.7741935483870968,0.7445007342729899,0.7709175484697779
level,stat_color_edge_line_mutual_info_k128,128,gbdt_tuned,0.7004608294930875,0.6592763920382968,0.6944027085488572
level,stat_color_edge_line_mutual_info_k128,128,xgboost_tuned,0.7050691244239631,0.668187690463864,0.6975904983933234
level,stat_color_edge,131,svm_rbf_tuned,0.7788018433179723,0.7674296795708279,0.7817996403966461
level,stat_color_edge,131,rf_tuned,0.7649769585253456,0.7352537014173992,0.7621220433149292
level,stat_color_edge,131,gbdt_tuned,0.6866359447004609,0.6423234873883593,0.6791724382320702
level,stat_color_edge,131,xgboost_tuned,0.7096774193548387,0.6660729565019994,0.7000871252365526
level,stat_color_edge_f_classif_k64,64,svm_rbf_tuned,0.7050691244239631,0.6933097500516423,0.710596079760342
level,stat_color_edge_f_classif_k64,64,rf_tuned,0.7695852534562212,0.7395855327774652,0.7663536626504031
level,stat_color_edge_f_classif_k64,64,gbdt_tuned,0.6820276497695853,0.640416795148525,0.675086941702765
level,stat_color_edge_f_classif_k64,64,xgboost_tuned,0.6728110599078341,0.6222107399151642,0.6599856618977448
level,stat_color_edge_f_classif_k128,128,svm_rbf_tuned,0.783410138248848,0.7709528578796367,0.7854201303729814
level,stat_color_edge_f_classif_k128,128,rf_tuned,0.7741935483870968,0.7450664040801899,0.7707386885243613
level,stat_color_edge_f_classif_k128,128,gbdt_tuned,0.6866359447004609,0.6402014352651816,0.6806620983290869
level,stat_color_edge_f_classif_k128,128,xgboost_tuned,0.7096774193548387,0.6571818585992598,0.6985240420110672
level,all,2120,svm_rbf_tuned,0.7188940092165899,0.6800089390497676,0.7144776534233255
level,all,2120,rf_tuned,0.6912442396313364,0.581212015944531,0.6538198455312113
level,all,2120,gbdt_tuned,0.6912442396313364,0.6442341155370136,0.6804946080653468
level,all,2120,xgboost_tuned,0.7004608294930875,0.6636107489801926,0.6911111658048844
level,all_f_classif_k64,64,svm_rbf_tuned,0.6543778801843319,0.619679364949047,0.6558970470890862
level,all_f_classif_k64,64,rf_tuned,0.7096774193548387,0.6421799386712322,0.6974880262103705
level,all_f_classif_k64,64,gbdt_tuned,0.6497695852534562,0.5812089895013124,0.6393194298293359
level,all_f_classif_k64,64,xgboost_tuned,0.6589861751152074,0.5941741924555299,0.6447674800988891
level,all_f_classif_k128,128,svm_rbf_tuned,0.6728110599078341,0.6372803071894121,0.6737550822364633
level,all_f_classif_k128,128,rf_tuned,0.7465437788018433,0.6926181357445216,0.7355013343712292
level,all_f_classif_k128,128,gbdt_tuned,0.7050691244239631,0.6564043982372822,0.6972114699283766
level,all_f_classif_k128,128,xgboost_tuned,0.6543778801843319,0.5951194507798281,0.6431340737053285
level,all_f_classif_k256,256,svm_rbf_tuned,0.6589861751152074,0.6341861327400815,0.6608137732828249
level,all_f_classif_k256,256,rf_tuned,0.7235023041474654,0.6456193992579756,0.7022130518258045
level,all_f_classif_k256,256,gbdt_tuned,0.6774193548387096,0.6298899267735262,0.6680996838032668
level,all_f_classif_k256,256,xgboost_tuned,0.6728110599078341,0.6173697777670002,0.6619006968208067
level,all_f_classif_k512,512,svm_rbf_tuned,0.7188940092165899,0.6762758056660123,0.7172507637381057
level,all_f_classif_k512,512,rf_tuned,0.7050691244239631,0.6227954912766713,0.6809967043536866
level,all_f_classif_k512,512,gbdt_tuned,0.6866359447004609,0.61753332001088,0.6684941552724263
level,all_f_classif_k512,512,xgboost_tuned,0.6543778801843319,0.6067586111912344,0.6440415123911045
level,all_mutual_info_k64,64,svm_rbf_tuned,0.663594470046083,0.6295077775719382,0.6641032148330782
level,all_mutual_info_k64,64,rf_tuned,0.7142857142857143,0.6433948700253048,0.6999860595632985
level,all_mutual_info_k64,64,gbdt_tuned,0.6543778801843319,0.598992808780857,0.6423969464337151
level,all_mutual_info_k64,64,xgboost_tuned,0.6728110599078341,0.6283914611540942,0.6656748494462364
level,all_mutual_info_k128,128,svm_rbf_tuned,0.6497695852534562,0.6093355211439901,0.6498257894223538
level,all_mutual_info_k128,128,rf_tuned,0.7004608294930875,0.6083598936359673,0.6745524184669247
level,all_mutual_info_k128,128,gbdt_tuned,0.6682027649769585,0.6037889194139194,0.6509940328488717
level,all_mutual_info_k128,128,xgboost_tuned,0.6912442396313364,0.6425093250564948,0.6816539574386717
level,all_mutual_info_k256,256,svm_rbf_tuned,0.695852534562212,0.6492844328210181,0.691619552752519
level,all_mutual_info_k256,256,rf_tuned,0.7050691244239631,0.6293212369767394,0.683725576270722
level,all_mutual_info_k256,256,gbdt_tuned,0.6912442396313364,0.6422028717198027,0.6809104708282024
level,all_mutual_info_k256,256,xgboost_tuned,0.695852534562212,0.6321973161217163,0.6814291542201559
level,all_mutual_info_k512,512,svm_rbf_tuned,0.7188940092165899,0.6665560665950643,0.7119447033564389
level,all_mutual_info_k512,512,rf_tuned,0.6912442396313364,0.5920338789084121,0.6604902023038537
level,all_mutual_info_k512,512,gbdt_tuned,0.6866359447004609,0.6438146997929607,0.6786181793895679
level,all_mutual_info_k512,512,xgboost_tuned,0.695852534562212,0.6603808046721432,0.6897095288727787
