task,feature_set,accuracy,precision,recall,f1,auc,ap,macro_f1,weighted_f1,f1_none,f1_small,f1_medium,f1_large
binary,gray,0.880184331797235,0.9034090909090909,0.9464285714285714,0.9244186046511628,0.9212827988338191,0.9721622278631408,,,,,,
level,gray,0.7142857142857143,,,,,,0.6603537603103324,0.7092016917091164,0.7307692307692307,0.38461538461538464,0.7107438016528925,0.8152866242038217
binary,hsv,0.8986175115207373,0.8967391304347826,0.9821428571428571,0.9375,0.9246841593780369,0.9679449964623414,,,,,,
level,hsv,0.7327188940092166,,,,,,0.708175389570912,0.7335774425002687,0.8,0.5517241379310345,0.6885245901639344,0.7924528301886793
binary,edge,0.8755760368663594,0.8852459016393442,0.9642857142857143,0.9230769230769231,0.8941933916423712,0.9657176713954698,,,,,,
level,edge,0.6589861751152074,,,,,,0.632876504289865,0.6591008820156969,0.6808510638297872,0.4918032786885246,0.631578947368421,0.7272727272727273
binary,line,0.7695852534562212,0.8138297872340425,0.9107142857142857,0.8595505617977528,0.7499999999999999,0.9079026840241922,,,,,,
level,line,0.5852534562211982,,,,,,0.5356195586417317,0.575326346043568,0.52,0.34782608695652173,0.5964912280701754,0.6781609195402298
binary,adaptive_line,0.7788018433179723,0.8191489361702128,0.9166666666666666,0.8651685393258427,0.8028425655976676,0.9323800131700801,,,,,,
level,adaptive_line,0.511520737327189,,,,,,0.4494385342789598,0.49424453377782135,0.425531914893617,0.25,0.5,0.6222222222222222
binary,grid,0.8894009216589862,0.8956043956043956,0.9702380952380952,0.9314285714285714,0.9293002915451896,0.9743585726395032,,,,,,
level,grid,0.7050691244239631,,,,,,0.6675681818181818,0.7005869291998325,0.7272727272727273,0.48,0.688,0.775
binary,amount,0.8525345622119815,0.8863636363636364,0.9285714285714286,0.9069767441860465,0.8861758989310009,0.9601208662242813,,,,,,
level,amount,0.7050691244239631,,,,,,0.6589839475613255,0.7015063600579909,0.7079646017699115,0.4489795918367347,0.6554621848739496,0.8235294117647058
binary,artifact,0.8755760368663594,0.8983050847457628,0.9464285714285714,0.9217391304347826,0.9052478134110787,0.9639822349681378,,,,,,
level,artifact,0.7142857142857143,,,,,,0.6685251424287664,0.7099537151797977,0.7115384615384616,0.4489795918367347,0.703125,0.8104575163398693
binary,pose_norm,0.8709677419354839,0.8804347826086957,0.9642857142857143,0.9204545454545454,0.9052478134110786,0.9637840233725821,,,,,,
level,pose_norm,0.7419354838709677,,,,,,0.712056731229077,0.7381815912832481,0.78,0.5490196078431373,0.7317073170731707,0.7875
binary,hog,0.8617511520737328,0.8556701030927835,0.9880952380952381,0.9171270718232044,0.896622934888241,0.9587770585058865,,,,,,
level,hog,0.663594470046083,,,,,,0.5440281851734404,0.6226680264315099,0.6981132075471698,0.0625,0.6507936507936508,0.7647058823529411
binary,stat_color_edge_amount,0.8709677419354839,0.8932584269662921,0.9464285714285714,0.9190751445086706,0.9251700680272109,0.9747474534136986,,,,,,
level,stat_color_edge_amount,0.7465437788018433,,,,,,0.7117936064829089,0.7434841074162141,0.7476635514018691,0.5384615384615384,0.7457627118644068,0.8152866242038217
binary,stat_color_edge_amount_artifact,0.8709677419354839,0.8932584269662921,0.9464285714285714,0.9190751445086706,0.9249271137026238,0.9746397792647534,,,,,,
level,stat_color_edge_amount_artifact,0.7557603686635944,,,,,,0.7155915802035857,0.7525670874578515,0.7522935779816514,0.52,0.7479674796747967,0.8421052631578947
binary,stat_color_edge_line,0.8755760368663594,0.8895027624309392,0.9583333333333334,0.9226361031518625,0.9305150631681244,0.9772472066108284,,,,,,
level,stat_color_edge_line,0.7603686635944701,,,,,,0.7265880623063234,0.7586489858150995,0.7766990291262136,0.5555555555555556,0.7333333333333333,0.8407643312101911
binary,low_dim_all,0.8847926267281107,0.8907103825136612,0.9702380952380952,0.9287749287749287,0.9288143828960156,0.9758686785531128,,,,,,
level,low_dim_all,0.7603686635944701,,,,,,0.7300430857180824,0.756119922946228,0.7735849056603774,0.5833333333333334,0.7479674796747967,0.8152866242038217
binary,low_dim_pose,0.8894009216589862,0.8913043478260869,0.9761904761904762,0.9318181818181818,0.9211613216715258,0.971840437543926,,,,,,
level,low_dim_pose,0.7695852534562212,,,,,,0.7386137495863407,0.7643910451514973,0.7920792079207921,0.5833333333333334,0.7642276422764228,0.8148148148148148
binary,low_dim_final,0.880184331797235,0.8858695652173914,0.9702380952380952,0.9261363636363636,0.9217687074829931,0.9727320957004972,,,,,,
level,low_dim_final,0.7649769585253456,,,,,,0.7358760812797769,0.7613786901789423,0.7722772277227723,0.5882352941176471,0.7704918032786885,0.8125
binary,all,0.8663594470046083,0.8677248677248677,0.9761904761904762,0.9187675070028011,0.9085276967930029,0.9665518018448928,,,,,,
level,all,0.7373271889400922,,,,,,0.6733875310005191,0.7235821425366116,0.7692307692307693,0.38095238095238093,0.7131782945736435,0.8301886792452831
