group_type,group_value,model,accuracy,count
pose,unknown,传统视觉二分类_SVM_XGBoost,0.9354838709677419,217
pose,unknown,传统视觉普通四分类_SVM_XGBoost,0.7741935483870968,217
pose,unknown,传统视觉有序四分类_SVM_XGBoost,0.7695852534562212,217
scene,coco,传统视觉二分类_SVM_XGBoost,0.9615384615384616,52
scene,data_data,传统视觉二分类_SVM_XGBoost,0.8333333333333334,12
scene,database,传统视觉二分类_SVM_XGBoost,0.9482758620689655,58
scene,folder_yolo,传统视觉二分类_SVM_XGBoost,0.9315068493150684,73
scene,newtrashy_none,传统视觉二分类_SVM_XGBoost,0.9090909090909091,22
scene,coco,传统视觉普通四分类_SVM_XGBoost,0.7115384615384616,52
scene,data_data,传统视觉普通四分类_SVM_XGBoost,0.9166666666666666,12
scene,database,传统视觉普通四分类_SVM_XGBoost,0.7068965517241379,58
scene,folder_yolo,传统视觉普通四分类_SVM_XGBoost,0.7808219178082192,73
scene,newtrashy_none,传统视觉普通四分类_SVM_XGBoost,1.0,22
scene,coco,传统视觉有序四分类_SVM_XGBoost,0.75,52
scene,data_data,传统视觉有序四分类_SVM_XGBoost,0.75,12
scene,database,传统视觉有序四分类_SVM_XGBoost,0.7586206896551724,58
scene,folder_yolo,传统视觉有序四分类_SVM_XGBoost,0.7808219178082192,73
scene,newtrashy_none,传统视觉有序四分类_SVM_XGBoost,0.8181818181818182,22
